# address	name	source  (dream-translate symbols; edit freely, keep tabs)
0x0c167e34	_mwlRnaWaitTransEnd	fid
0x0c167e86	_mwRnaSetTransSw	fid
0x0c167f64	_mwRnaSetPlaySw	fid
0x0c167ff0	_mwlRnaStartTrans	fid
0x0c16816e	_mwlRnaInsrtSlntDat	fid
0x0c168380	_mwRnaExecServer	fid
0x0c1684b4	_mwRnaIsPause	fid
0x0c1685a8	_mwRnaGetTime	fid
0x0c1685e8	_mwRnaGetStat	fid
0x0c168608	_mwRnaGetTransSw	fid
0x0c16862e	_mwRnaGetPlaySw	fid
0x0c168656	_mwRnaGetAutoSw	fid
0x0c168680	_mwRnaGetNumData	fid
0x0c16869e	_mwRnaGetNumRoom	fid
0x0c1686c0	_mwRnaSetNumChan	fid
0x0c168746	_mwRnaSetStartSmpl	fid
0x0c168766	_mwRnaSetBitPerSmpl	fid
0x0c1687be	_mwRnaSetSfreq	fid
0x0c1687f8	_mwRnaSetOutVol	fid
0x0c168854	_mwRnaSetOutPan	fid
0x0c1689d4	_mwRnaGetBitPerSmpl	fid
0x0c1689f2	_mwRnaGetSfreq	fid
0x0c168a10	_mwRnaGetOutVol	fid
0x0c168a30	_mwRnaGetOutPan	fid
0x0c168a60	_mwRnaGetFx	fid
0x0c168aa0	_mwRnaGetPitch	fid
0x0c168ae0	_mwRnaGetDrctLvl	fid
0x0c168b00	_mwRnaErrEntryFunc	ghidra
0x0c168b56	_mwRnaGetFilter	fid
0x0c168b7e	_mwRnaSetStmHdInfo	fid
0x0c169868	_SJ_SplitChunk	fid
0x0c16a852	_kmiDefaultInterruptHandler	fid
0x0c16c204	_syG2DmaResumeAll	fid
0x0c16c280	_syG2DmaSuspendAll	fid
0x0c16c2c4	_syG2FifoWaitEmpty	fid
0x0c16c41c	_mpdrv_init_ex	fid
0x0c16c72a	_mpdrv_frame_send	fid
0x0c16c8fa	_mpdrv_frame_recv_pre	fid
0x0c16c93c	_mpdrv_frame_recv_post	fid
0x0c16c952	_mpdrv_frame_recv_main	fid
0x0c16ca98	_mpdrv_dpf	fid
0x0c16cae0	_mpdrv_get_device	fid
0x0c16caf0	_mpdrv_get_deviceinfo	fid
0x0c16cb44	_mpdrv_stat	fid
0x0c16cb5e	_mpdrv_ischanged	fid
0x0c16cb7e	_mpdrv_timeout	fid
0x0c16cb9a	_mpdrv_swapmode	fid
0x0c16cc1a	_mpdrv_optimize	fid
0x0c16cc5c	_mpdrv_get_gunmode	fid
0x0c16cca8	_mpdrv_init_globals	fid
0x0c16cf14	_mpdrv_insertnop	fid
0x0c16cf58	_mpdrv_setcmd	fid
0x0c16d1cc	_mpdrv_setcmd_force	fid
0x0c16d496	_mpdrv_check_port	fid
0x0c16d55c	_mpdrv_make_devicedata	fid
0x0c16da6a	_mpdrv_set_getcond	fid
0x0c16da96	_mpdrv_set_getcond_ns	fid
0x0c16daf8	_mpdrv_set_dreq_ns	fid
0x0c16db3c	_mpdrv_set_dkill_ns	fid
0x0c16db80	_mpdrv_set_dreset_ns	fid
0x0c16dbc4	_mpdrv_set_allstatreq_ns	fid
0x0c16dbdc	_mpdrv_set_getminfo	fid
0x0c16dc08	_mpdrv_set_getminfo_ns	fid
0x0c16dc8e	_mpdrv_set_bwrite	fid
0x0c16dcc8	_mpdrv_set_bwrite_ns	fid
0x0c16dd2a	_mpdrv_set_getlerr_ns	fid
0x0c16dd90	_mpdrv_set_transagain_ns	fid
0x0c16ddd4	_mpdrv_set_arctrl_ns	fid
0x0c16de24	_mpdrv_set_ft4ctrl_ns	fid
0x0c16de48	_mpdrv_set_setcond	fid
0x0c16de84	_mpdrv_set_setcond_ns	fid
0x0c16dedc	_mpdrv_set_end_ns	fid
0x0c16def0	_mpdrv_memset_l	fid
0x0c16e4f4	_vmsio_isready	fid
0x0c16e534	_vmsio_ismount	fid
0x0c16ed50	_ADXB_Init	fid
0x0c16f092	_ADXB_GetOutBps	fid
0x0c16f0fc	_ADXB_EntryData	fid
0x0c16f14e	_ADXB_Start	fid
0x0c16f15c	_ADXB_Stop	fid
0x0c16f176	_ADXB_Reset	fid
0x0c16f1c2	_ADXB_EvokeExpandMono	fid
0x0c16f1ee	_ADXB_EvokeExpandSte	fid
0x0c16f224	_ADXB_EvokeDecode	fid
0x0c16f2e0	_memcpy2	fid
0x0c16f30c	_ADXB_CopyExtraBufSte	fid
0x0c16f340	_ADXB_CopyExtraBufMono	fid
0x0c16f358	_ADXB_EndDecode	fid
0x0c16f558	_mwRnaLockCs	fid
0x0c16f570	_mwRnaUnlockCs	fid
0x0c16f588	_mwRnaErrEntryFunc	fid
0x0c16f5a6	_mwRnaErrCallFunc	fid
0x0c170510	_syG2DmaResume	fid
0x0c170550	_syG2FifoIsEmpty	fid
0x0c170cd2	_ADX_DecodeInfoAiff	fid
0x0c170d6a	_ADXB_DecodeHeaderAiff	fid
0x0c170e68	_ADXB_ExecOneAiff16	fid
0x0c170f86	_ADXB_ExecOneAiff8	fid
0x0c17108e	_ADXB_ExecOneAiff	fid
0x0c1712cc	_ADXB_CheckAu	fid
0x0c1712fe	_ADX_DecodeInfoAu	fid
0x0c1713c2	_ADXB_DecodeHeaderAu	fid
0x0c1714b0	_ADXB_ExecOneAu16	fid
0x0c1715d0	_ADXB_ExecOneAu8	fid
0x0c1716d8	_ADXB_ExecOneAuUlaw	fid
0x0c1717dc	_ADXB_ExecOneAu	fid
0x0c17180c	_ADX_DecodeInfoSpsd	fid
0x0c1718d8	_ADXB_DecodeHeaderSpsd	fid
0x0c171ad4	_ADX_DecodeInfoWav	fid
0x0c171c8c	_ADXB_DecodeHeaderWav	fid
0x0c171d74	_ADXB_ExecOneWav16	fid
0x0c171e6c	_ADXB_ExecOneWav8	fid
0x0c171f78	_ADXB_ExecOneWav4	fid
0x0c1720dc	_ADXB_ExecOneWav	fid
0x0c172196	_ADXPD_SetCoef	fid
0x0c1721ca	_ADXPD_EntryMono	fid
0x0c1721e8	_ADXPD_EntrySte	fid
0x0c172206	_ADXPD_Start	fid
0x0c172218	_ADXPD_Stop	fid
0x0c17222e	_ADXPD_Reset	fid
0x0c172240	_adxpd_error	fid
0x0c172260	_ADXPD_ExecHndl	fid
0x0c1725b0	_ADX_DecodeMonoFloat	fid
0x0c1726c8	_ADX_DecodeSteFloat	fid
0x8c004000	_startup_stub	user
